Mentor cs login,Meeting time,partner 1 - cs login,partner 1 - github,partner 1 - discord,partner 2 - cs login,partner 2 - github,partner 2 - discord,partner 3 - cs login,partner 3 - github,partner 3 - discord,partner 4 - cs login,partner 4 - github,partner 4 - discord,partner 5 - cs login,partner 5 - github,partner 5 - discord,partner 6 - cs login,partner 6 - github,partner 6 - discord
aahluwal,Weds 8:00 pm - 8:15 pm ,smendir1,mendiratta27,shivaniMendiratta#8128,jbenzon,joshbenzon,itzyyyyyyy#0931,jdoming8,jdoming8,Jellyjell#8860,sgeorge8,ann2002g,SarahG#7228,dgrossm5,,,,,
aahluwal,Weds 8:20 pm - 8:35 pm ,bpiekarz,bpiekarz,benpiekarz,kku2,kleookku,kleookku,avonderg,avonderg,avonderg,jurrutic,jurruti,josito,sgundotr,samgundotra,sgundotra,,,
abahl1,Weds 8:00 pm - 8:15 pm ,jboustan,johnnyboustany,johnnyboustany,gletourn,glet2024,Voltaire#6372,mstephe7,mstephe7,mstephe7,janagony,Janagonye,Nagon#0769,makel,mohammedakel,mohammedakel,,,
abahl1,Weds 8:20 pm - 8:35 pm ,sliu176,sophiazyliu,sophia#7710,mdonoso,Mike-Do,RunTheWave#9144,yliu401,Jusmingos,SarahLiu#3202,tlamlert,tlamlert,Dumbo#9049,cyu63,cyu88,cyu#9869,tzhang96,TianranZhang21,Ran#0788
csims,Tues 6:00 pm - 6:15 pm ,nbottone,NicholasBottone,EasyAsPai#3232,cjeong5,christinej604,xtine#4269,jpark236,jamesdupark,jqkr#2643,rkoch2,rkoch2,robertk20#3142,ali140,andrew7li,AndrewLi#6754,tkato1,tkato1,katotoshi#3999
csims,Tues 6:20 pm - 6:35 pm ,vmora1,victor-mora,Victor Mora [vmora1],ljarasun,lukasjarasunasbrown,Lukas [ljarasun],myousse2,mjyoussef,Michael_Youssef,amark8,alexmark256,Alex [amark8],ssameer1,shamelsameer,Shamel [ssameer1],,,
dhu24,Tues 5:00 pm - 5:15 pm ,kkang11,kevinxkang,kang #1360,mburke15,mason-burke,quietmason#5198,jphelps1,joshua-8,joshua phelps#0650,awey,alex-wey,awey#7296,cbirdsal,cooperbirdsall,cooper#8307,,,
dhu24,Tues 5:20 pm - 5:35 pm ,aahmed18,saylessShoes,A Staff Gorilla #6600,afayie,ZahFay,mario,nfahsang,nfahsang,N.cK#6389,rmohnani,,,atran34,agnestran,atran34,,,
eoscarph,Tues 4:00 pm - 4:15 pm ,aalkhati,ahmadjamalalkhatib,ajk#2472,crivera8,crivera008,Cali Rivera [crivera8]#6069,jbarlas1,jbarlas,justin5975#1225,kwalsh15,k-walsh,Kiera [k-walsh15] #3473,cbaumga1,katieb19,Katie Baumgarten#0223,zweachte,zachweach,Zach Weachter [zweachte]#9798
eoscarph,Tues 4:20 pm - 4:35 pm ,ewu32,suburbiaexe,suburbia.jpg,aduchnow,AlexDuchnowski,XenonHawk#8835,hjulius,hsjulius,Hannah Julius#8280,dfryd,David-Fryd,NaCl-y#1117,dgraves4,dgraves48,Daniel Graves [dgraves4],,,
gwinsor,Tues 7:00 pm - 7:15 pm ,mfleisc1,mayafleischer,mayafleischer#4671,cpelling,pellingerc,chrispellinger#5483,mquezad1,manuelquezada23,mannyquezada#2606,ehinds3,emilyhinds,emilyhinds#1387,,,,,,
gwinsor,Tues 7:20 pm - 7:35 pm ,oorozco,oorozco21,Crunch#2753,cchau6,chey-n,Chey#0516,hkang39,9bbrfxhyjdyayk7c,hkang,iihenatu,,,mayala7,mayala7,marcs#7799,,,
hdandapa,Tues 11:00 am - 11:15 am ,nserbent,,,ssinha21,,,dhealey5,,,bsutioso,,,jdodson4,jcvdodson,jdod27,,,
hdandapa,Tues 11:20 am - 11:35 am ,ewilli51,,,jgoshu,,,jmalamud,,,jliu240,liuser23,joosh#3685,kmarcus2,,,,,
jwalendo,Weds 11:00 am - 11:15 am ,afloru1,sashafll122,sashaistired,jmanass1,,,jomukaga,joannekoye,joan#0869,rmuthuk1,,,hdalton,,,,,
jwang400,Weds 9:00 pm - 9:15 pm ,ljankow2,laruajank,laurajank#1426,hflores,hflores02,Haley Flores [hflores],mmack1,Mmack1,n/a,rrest,rebekahrest,Rebekah#8302,ydong34,amberdong956,amber#4679,,,
jwang400,Weds 9:20 pm - 9:35 pm ,sanand14,surajk610,n/a,abao5,abao929,n/a,nxu4,neil2001,n/a,onaphade,onaphade,n/a,vpandiar,vpandiarajan20,n/a,,,
jyu111,Weds 7:00 pm - 7:15 pm ,hjeon15,j200183,Hannah [hjeon15],lmckeown,laurenmck,Laurenmck#4670,axing2,xing-angela,angelaxing#2899,kli117,likaixii,likaixi,vlu11,amphivianlu,vivian#8929,mvong1,kiara-v,mish#5614
jyu111,Weds 7:20 pm - 7:35 pm ,rwaterso,swimgirlnv,Becca#9799,gmille16,gmiller02,N/A,mchandl5,,,natanda,nouh05,noahh55#2359,jsanch37,jorgeangelsanchez,N/A,,,
kgallman,Tues 5:00 pm - 5:15 pm ,vwei4,ashengrotto,mei#0127,jrhee8,justinwrhee,justin5901,mshinkar,mattshinkar,mattkid123#3145,ccolli20,collins2023,collins197,spyon,stephenpyon,ste_pyon,,,
kgallman,Tues 5:20 pm - 5:35 pm ,smorri21,stew2003,stew2003#1610,mhe36,melvinhe,Melvin#8390,msalomo2,Mitchman215,Mitchman215#4218,tdesimo1,TimD123,timdesimone#5566,nyarnall,nickyy96,TRN96#5180,sboppana,AskSid,AskSid#8884
